ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,,,6.6,6.5,6.4,6.2,6,5.9,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,,,5.9,6,6.1,6.2,6.2,6.1,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,,,6.2,6.1,6,5.9,5.7,5.5,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,,,5.6,5.7,5.8,5.8,5.8,5.7,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,,,4.9,5,5,5.1,5.1,5.1,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,,,4.3,4.4,4.5,4.4,4.4,4.4,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,,,3,3.1,3.2,3.4,3.6,3.6,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,,,2.1,2.1,2.2,2.3,2.3,2.3,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,,,2.1,2.2,2.2,2.2,2.2,2.3,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,,,107343,98906,95459,101332,97884,91947,,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,,,1.78,1.77,1.75,1.72,1.72,1.68,,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,,,53633,56058,52485,56525,62980,59451,,
BD_5,Births and deaths - year ended 31 December,"Standardised death rate (per 1,000 people) (rate)",,,,,5.3,5.3,5.2,5.1,5.2,5.3,,
MIGRATION_2,Internal and overseas migration - year ended 30 June,Internal arrivals (no.),,,,,,,,96540,108784,82008,81732,
MIGRATION_3,Internal and overseas migration - year ended 30 June,Internal departures (no.),,,,,,,,113362,148119,116166,112597,
